ID    RISK     STATUS     CVSS-VECTOR                                   CVSS-BASE  CVSS-VERSION  OWASP  ASVS                                CWE                        MSTG                          OWASP API 2023                   OWASP MASVS (v2)       OWASP MOBILE 2024  PCI-DSS  HIPAA                      GDPR               UPDATED-ON                            VULNERABILITY-ID
--    ----     ------     -----------                                   ---------  ------------  -----  ----                                ---                        ----                          --------------                   ----------------       -----------------  -------  -----                      ----               ----------                            ----------------
5684  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_470]                  [MSTG_6_2]                    []                               [MASVS_4_4]            [M4_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.579104 +0000 UTC  85
5685  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_749]                  [MSTG_6_6]                    []                               [MASVS_6_2]            [M4_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.607764 +0000 UTC  86
5686  Unknown  Waiting                                                  -1         3             []     [ASVS_13_1_3 ASVS_13_1_2]           [CWE_16]                   []                            [API1_2023 API8_2023]            []                     [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.635752 +0000 UTC  87
5687  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_925]                  [MSTG_6_2]                    []                               [MASVS_4_4]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.662392 +0000 UTC  88
5688  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_16]                   [MSTG_6_2]                    []                               [MASVS_4_4]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.686898 +0000 UTC  89
5689  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_922]                  [MSTG_2_1]                    []                               [MASVS_1_1]            [M6_2024 M9_2024]  []       [164_312_a_1]              [gdpr_25 gdpr_32]  2025-11-14 12:37:21.708238 +0000 UTC  90
5690  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_200]                  [MSTG_2_9]                    []                               [MASVS_6_3]            [M8_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.733558 +0000 UTC  92
5691  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_89]                   [MSTG_6_2]                    []                               [MASVS_4_4]            [M4_2024]          []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.759781 +0000 UTC  93
5692  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_942]                  [MSTG_6_6]                    []                               [MASVS_6_2]            [M4_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.783989 +0000 UTC  94
5693  Unknown  Waiting                                                  -1         3             []     []                                  [CWE_502]                  [MSTG_6_8]                    []                               [MASVS_4_4]            [M4_2024 M8_2024]  []       []                         [gdpr_25 gdpr_32]  2025-11-14 12:37:21.80809 +0000 UTC   95
